State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2010
6,NCNTY06103N06103,"Tehama County, CA",515,639,865,1220,1399,CA,63463
6,NCNTY06105N06105,"Trinity County, CA",648,652,872,1285,1544,CA,13786
6,NCNTY06109N06109,"Tuolumne County, CA",655,795,1076,1586,1591,CA,55365
8,METRO14500M14500,"Boulder, CO MSA",786,914,1130,1665,1978,CO,294567
8,METRO17820M17820,"Colorado Springs, CO HUD Metro FMR Area",543,674,875,1289,1550,CO,622263
8,METRO17820N08119,"Teller County, CO HUD Metro FMR Area",587,757,946,1365,1370,CO,23350
8,METRO19740M19740,"Denver-Aurora-Broomfield, CO MSA",627,774,1002,1470,1705,CO,2543482
8,METRO22660M22660,"Fort Collins-Loveland, CO MSA",592,732,882,1300,1562,CO,299630
8,METRO24300M24300,"Grand Junction, CO MSA",562,670,891,1313,1508,CO,146723
8,METRO24540M24540,"Greeley, CO MSA",515,601,773,1134,1369,CO,252825
8,METRO39380M39380,"Pueblo, CO MSA",445,540,706,1010,1090,CO,159063
8,NCNTY08003N08003,"Alamosa County, CO",553,575,684,852,914,CO,15445
8,NCNTY08007N08007,"Archuleta County, CO",579,582,756,988,1010,CO,12084
8,NCNTY08009N08009,"Baca County, CO",382,399,473,697,726,CO,3788
8,NCNTY08011N08011,"Bent County, CO",467,470,636,792,976,CO,6499
8,NCNTY08015N08015,"Chaffee County, CO",532,535,724,1067,1244,CO,17809
8,NCNTY08017N08017,"Cheyenne County, CO",409,412,557,763,855,CO,1836
8,NCNTY08021N08021,"Conejos County, CO",537,561,665,828,889,CO,8256
8,NCNTY08023N08023,"Costilla County, CO",566,591,701,1033,1036,CO,3524
8,NCNTY08025N08025,"Crowley County, CO",432,435,588,736,1041,CO,5823
8,NCNTY08027N08027,"Custer County, CO",537,540,731,951,1122,CO,4255
8,NCNTY08029N08029,"Delta County, CO",579,583,789,983,1360,CO,30952
8,NCNTY08033N08033,"Dolores County, CO",463,483,573,844,880,CO,2064
8,NCNTY08037N08037,"Eagle County, CO",1025,1032,1396,1806,2296,CO,52197
8,NCNTY08043N08043,"Fremont County, CO",578,595,715,1028,1108,CO,46824
8,NCNTY08045N08045,"Garfield County, CO",854,860,1163,1454,2060,CO,56389
8,NCNTY08049N08049,"Grand County, CO",729,734,993,1390,1395,CO,14843
8,NCNTY08051N08051,"Gunnison County, CO",613,695,940,1171,1573,CO,15324
8,NCNTY08053N08053,"Hinsdale County, CO",530,533,692,948,1062,CO,843
8,NCNTY08055N08055,"Huerfano County, CO",617,621,840,1046,1123,CO,6711
8,NCNTY08057N08057,"Jackson County, CO",558,562,729,908,1119,CO,1394
8,NCNTY08061N08061,"Kiowa County, CO",469,472,613,763,882,CO,1398
8,NCNTY08063N08063,"Kit Carson County, CO",427,429,581,724,1024,CO,8270
8,NCNTY08065N08065,"Lake County, CO",696,753,1019,1269,1564,CO,7310
8,NCNTY08067N08067,"La Plata County, CO",754,803,999,1354,1740,CO,51334
8,NCNTY08071N08071,"Las Animas County, CO",549,553,748,1041,1044,CO,15507
8,NCNTY08073N08073,"Lincoln County, CO",564,568,725,903,1113,CO,5467
8,NCNTY08075N08075,"Logan County, CO",419,520,704,877,1040,CO,22709
8,NCNTY08079N08079,"Mineral County, CO",660,664,862,1074,1323,CO,712
